Eurovision Song Contest 2015 Grand Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Azerbaijan,Armenia,26,26,26,26,26,26,26,26,"
"
Azerbaijan,Lithuania,8,9,10,8,7,8,18,12,"
"
Azerbaijan,Serbia,13,12,13,12,10,12,22,18,"
"
Azerbaijan,Norway,21,22,21,22,21,21,14,19,"
"
Azerbaijan,Sweden,6,7,6,7,8,7,3,5,6
Azerbaijan,Cyprus,23,24,24,23,24,24,21,24,"
"
Azerbaijan,Australia,17,19,19,15,19,18,9,14,"
"
Azerbaijan,Belgium,20,17,20,19,18,19,8,13,"
"
Azerbaijan,Austria,19,20,18,20,20,20,23,23,"
"
Azerbaijan,Greece,18,18,17,17,17,17,15,16,"
"
Azerbaijan,Montenegro,10,11,8,11,9,9,12,9,2
Azerbaijan,Germany,25,25,25,25,25,25,17,21,"
"
Azerbaijan,Poland,15,16,15,18,16,16,16,17,"
"
Azerbaijan,Latvia,7,1,7,3,3,5,7,6,5
Azerbaijan,Romania,11,14,12,14,11,13,24,20,"
"
Azerbaijan,Spain,16,15,16,16,14,15,10,10,1
Azerbaijan,Hungary,9,8,11,10,13,10,20,15,"
"
Azerbaijan,Georgia,1,2,3,4,5,2,4,2,10
Azerbaijan,Russia,3,4,1,2,1,1,1,1,12
Azerbaijan,Albania,14,13,14,13,12,14,11,11,"
"
Azerbaijan,Italy,4,5,2,5,6,6,2,3,8
Belarus,Slovenia,26,7,26,25,26,24,12,19,"
"
Belarus,France,16,24,23,5,12,16,27,23,"
"
Belarus,Israel,13,8,12,6,11,7,11,9,2
Belarus,Estonia,9,3,14,12,19,9,2,4,7
Belarus,United Kingdom,10,18,7,17,7,10,25,18,"
"
Belarus,Armenia,4,9,8,7,6,5,9,7,4
Belarus,Lithuania,20,10,9,16,8,12,20,14,"
"
Belarus,Serbia,17,11,24,19,22,20,15,16,"
"
Belarus,Norway,12,23,11,20,10,14,14,11,"
"
Belarus,Sweden,3,1,1,2,2,1,5,2,10
Belarus,Cyprus,7,17,4,15,9,8,24,15,"
"
Belarus,Australia,2,5,3,1,3,3,8,5,6
Belarus,Belgium,5,2,5,4,4,4,3,3,8
Belarus,Austria,21,16,22,23,18,23,26,26,"
"
Belarus,Greece,14,13,15,10,15,13,22,17,"
"
Belarus,Montenegro,25,27,21,26,17,26,18,24,"
"
Belarus,Germany,19,14,17,18,16,17,19,21,"
"
Belarus,Poland,18,12,20,22,21,19,17,20,"
"
Belarus,Latvia,11,6,6,11,5,6,6,6,5
Belarus,Romania,24,15,16,21,20,21,16,22,"
"
Belarus,Spain,15,19,18,13,25,18,13,12,"
"
Belarus,Hungary,23,20,19,27,27,25,21,25,"
"
Belarus,Georgia,6,22,10,9,14,11,7,8,3
Belarus,Azerbaijan,22,25,25,14,13,22,10,13,"
"
Belarus,Russia,1,4,2,3,1,2,1,1,12
Belarus,Albania,27,21,27,24,24,27,23,27,"
"
Belarus,Italy,8,26,13,8,23,15,4,10,1
Belgium,Slovenia,2,17,16,21,14,15,24,23,"
"
Belgium,France,24,26,25,24,24,24,15,22,"
"
Belgium,Israel,16,14,24,23,21,23,8,15,"
"
Belgium,Estonia,4,6,18,16,15,13,9,9,2
Belgium,United Kingdom,19,25,15,20,18,21,23,26,"
"
Belgium,Armenia,22,11,9,18,13,16,5,8,3
Belgium,Lithuania,25,24,23,26,25,25,18,24,"
"
Belgium,Serbia,26,23,26,25,26,26,13,21,"
"
Belgium,Norway,3,7,17,22,17,14,17,16,"
"
Belgium,Sweden,10,3,6,6,6,3,2,1,12
Belgium,Cyprus,14,15,5,14,9,12,22,18,"
"
Belgium,Australia,15,10,2,3,2,4,12,7,4
Belgium,Austria,7,13,7,9,5,6,26,17,"
"
Belgium,Greece,23,20,20,15,20,22,16,20,"
"
Belgium,Montenegro,12,19,22,13,19,18,25,25,"
"
Belgium,Germany,11,5,3,10,3,5,19,11,"
"
Belgium,Poland,21,22,19,17,16,20,6,12,"
"
Belgium,Latvia,1,1,1,2,1,1,11,4,7
Belgium,Romania,5,4,12,8,12,7,7,6,5
Belgium,Spain,20,16,21,7,22,19,10,13,"
"
Belgium,Hungary,8,8,10,19,8,9,21,14,"
"
Belgium,Georgia,17,9,13,5,7,8,14,10,1
Belgium,Azerbaijan,18,21,8,12,23,17,20,19,"
"
Belgium,Russia,9,2,4,1,4,2,4,2,10
Belgium,Albania,6,18,11,11,10,11,3,5,6
Belgium,Italy,13,12,14,4,11,10,1,3,8
Cyprus,Slovenia,18,16,18,19,10,17,19,18,"
"
Cyprus,France,2,6,23,8,21,9,23,17,"
"
Cyprus,Israel,15,8,6,9,7,7,6,5,6
Cyprus,Estonia,4,9,22,17,13,10,9,9,2
Cyprus,United Kingdom,23,21,9,26,11,22,18,22,"
"
Cyprus,Armenia,9,24,13,20,22,21,5,12,"
"
Cyprus,Lithuania,22,20,10,14,8,15,17,16,"
"
Cyprus,Serbia,6,13,15,18,14,11,15,13,"
"
Cyprus,Norway,3,5,3,4,5,2,20,11,"
"
Cyprus,Sweden,5,7,1,3,2,1,4,2,10
Cyprus,Australia,10,14,5,15,3,8,10,7,4
Cyprus,Belgium,11,2,4,6,4,5,7,4,7
Cyprus,Austria,17,17,14,16,9,14,26,23,"
"
Cyprus,Greece,8,3,12,1,15,6,1,3,8
Cyprus,Montenegro,21,12,19,10,17,16,21,19,"
"
Cyprus,Germany,20,22,20,23,20,24,24,26,"
"
Cyprus,Poland,16,23,25,24,16,23,16,21,"
"
Cyprus,Latvia,7,11,2,2,1,4,14,8,3
Cyprus,Romania,25,4,16,11,12,12,8,10,1
Cyprus,Spain,12,19,17,12,24,19,11,14,"
"
Cyprus,Hungary,14,25,8,22,18,20,25,24,"
"
Cyprus,Georgia,26,26,24,21,25,26,13,20,"
"
Cyprus,Azerbaijan,19,10,21,13,19,18,12,15,"
"
Cyprus,Russia,13,15,11,7,23,13,3,6,5
Cyprus,Albania,24,18,26,25,26,25,22,25,"
"
Cyprus,Italy,1,1,7,5,6,3,2,1,12
Czech Republic,Slovenia,14,18,24,18,26,22,21,25,"
"
Czech Republic,France,12,5,3,10,3,5,27,14,"
"
Czech Republic,Israel,27,15,26,27,22,27,8,19,"
"
Czech Republic,Estonia,23,24,11,11,21,18,14,13,"
"
Czech Republic,United Kingdom,18,22,19,12,27,21,26,27,"
"
Czech Republic,Armenia,15,20,14,19,23,19,1,9,2
Czech Republic,Lithuania,19,6,8,23,18,16,18,18,"
"
Czech Republic,Serbia,16,11,7,22,13,13,6,8,3
Czech Republic,Norway,3,14,5,3,7,4,22,11,"
"
Czech Republic,Sweden,1,2,1,1,4,1,5,2,10
Czech Republic,Cyprus,17,10,15,9,19,14,23,21,"
"
Czech Republic,Australia,26,13,12,8,14,15,24,24,"
"
Czech Republic,Belgium,4,1,2,21,10,6,9,5,6
Czech Republic,Austria,5,26,18,7,11,12,25,22,"
"
Czech Republic,Greece,8,12,23,14,25,17,17,17,"
"
Czech Republic,Montenegro,22,25,27,24,16,26,19,26,"
"
Czech Republic,Germany,6,19,9,4,8,8,20,12,"
"
Czech Republic,Poland,9,23,22,25,24,24,15,23,"
"
Czech Republic,Latvia,2,3,6,13,6,3,12,6,5
Czech Republic,Romania,21,27,25,26,12,25,11,20,"
"
Czech Republic,Spain,20,21,21,17,17,20,13,16,"
"
Czech Republic,Hungary,13,16,10,6,9,9,16,10,1
Czech Republic,Georgia,24,4,16,16,5,10,7,7,4
Czech Republic,Azerbaijan,7,7,4,2,1,2,4,1,12
Czech Republic,Russia,10,8,13,5,2,7,2,3,8
Czech Republic,Albania,25,17,20,20,20,23,10,15,"
"
Czech Republic,Italy,11,9,17,15,15,11,3,4,7
Denmark,Slovenia,18,24,12,13,12,18,14,16,"
"
Denmark,France,25,25,22,27,16,25,27,26,"
"
Denmark,Israel,23,23,21,17,13,21,8,13,"
"
Denmark,Estonia,8,3,9,9,4,5,7,5,6
Denmark,United Kingdom,27,20,26,18,20,23,15,20,"
"
Denmark,Armenia,26,27,23,26,27,27,26,27,"
"
Denmark,Lithuania,13,17,6,14,6,9,13,10,1
Denmark,Serbia,24,14,27,25,23,24,9,17,"
"
Denmark,Norway,16,13,8,6,15,10,6,8,3
Denmark,Sweden,4,2,5,1,2,2,1,1,12
Denmark,Cyprus,6,11,15,8,25,11,17,12,"
"
Denmark,Australia,2,10,4,4,5,3,2,3,8
Denmark,Belgium,17,16,1,5,3,6,4,4,7
Denmark,Austria,12,12,16,7,19,12,19,15,"
"
