Eurovision Song Contest 2015 Grand Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Hungary,Georgia,7,5,4,5,10,5,15,8,3
Hungary,Azerbaijan,17,19,23,19,22,24,23,25,"
"
Hungary,Russia,13,7,6,1,9,6,5,5,6
Hungary,Albania,26,16,12,16,19,19,22,21,"
"
Hungary,Italy,19,22,13,20,15,20,1,9,2
Iceland,Slovenia,5,10,2,6,10,5,11,9,2
Iceland,France,15,23,24,16,13,19,25,24,"
"
Iceland,Israel,9,8,8,5,7,6,6,6,5
Iceland,Estonia,14,16,10,21,5,12,7,10,1
Iceland,United Kingdom,24,18,14,27,26,25,15,21,"
"
Iceland,Armenia,27,27,23,26,24,26,26,27,"
"
Iceland,Lithuania,7,19,19,15,21,16,12,13,"
"
Iceland,Serbia,23,13,22,24,18,23,16,20,"
"
Iceland,Norway,1,6,6,1,2,2,4,2,10
Iceland,Sweden,4,1,3,3,1,1,2,1,12
Iceland,Cyprus,19,9,11,18,16,14,13,11,"
"
Iceland,Australia,10,5,1,4,8,4,3,3,8
Iceland,Belgium,3,4,7,17,12,8,5,7,4
Iceland,Austria,6,14,13,13,6,9,21,15,"
"
Iceland,Greece,20,20,26,11,22,21,27,25,"
"
Iceland,Montenegro,18,26,16,12,15,18,23,22,"
"
Iceland,Germany,22,12,20,14,11,15,22,19,"
"
Iceland,Poland,21,17,21,23,17,22,10,16,"
"
Iceland,Latvia,2,2,4,9,3,3,8,4,7
Iceland,Romania,17,25,18,22,23,24,20,23,"
"
Iceland,Spain,8,15,25,10,14,13,14,12,"
"
Iceland,Hungary,16,21,17,19,25,20,17,18,"
"
Iceland,Georgia,13,22,12,20,19,17,19,17,"
"
Iceland,Azerbaijan,12,11,15,7,9,10,18,14,"
"
Iceland,Russia,11,7,9,8,4,7,9,8,3
Iceland,Albania,26,24,27,25,27,27,24,26,"
"
Iceland,Italy,25,3,5,2,20,11,1,5,6
Ireland,Slovenia,10,27,24,3,2,11,20,16,"
"
Ireland,France,11,11,19,21,26,19,25,24,"
"
Ireland,Israel,27,9,9,17,13,15,12,12,"
"
Ireland,Estonia,8,26,26,22,19,23,9,17,"
"
Ireland,United Kingdom,12,22,7,6,21,13,11,10,1
Ireland,Armenia,21,23,27,27,27,27,27,27,"
"
Ireland,Lithuania,3,13,13,8,8,8,1,4,7
Ireland,Serbia,13,24,15,23,20,21,14,21,"
"
Ireland,Norway,4,18,6,7,6,5,16,7,4
Ireland,Sweden,9,2,4,2,1,1,5,2,10
Ireland,Cyprus,2,8,12,9,11,6,18,11,"
"
Ireland,Australia,26,4,3,5,5,7,8,6,5
Ireland,Belgium,25,3,11,11,24,14,10,9,2
Ireland,Austria,16,5,20,16,9,10,22,19,"
"
Ireland,Greece,19,21,25,20,17,25,26,26,"
"
Ireland,Montenegro,18,14,22,26,10,20,23,23,"
"
Ireland,Germany,20,17,16,18,4,16,19,22,"
"
Ireland,Poland,14,20,21,19,22,22,2,8,3
Ireland,Latvia,15,1,1,1,3,2,3,1,12
Ireland,Romania,22,16,17,24,23,24,7,14,"
"
Ireland,Spain,23,19,8,15,15,18,13,15,"
"
Ireland,Hungary,6,15,14,14,18,12,17,13,"
"
Ireland,Georgia,17,12,18,13,16,17,15,18,"
"
Ireland,Azerbaijan,5,10,10,12,14,9,24,20,"
"
Ireland,Russia,1,7,2,10,7,3,4,3,8
Ireland,Albania,24,25,23,25,25,26,21,25,"
"
Ireland,Italy,7,6,5,4,12,4,6,5,6
Israel,Slovenia,7,2,1,7,16,4,12,5,6
Israel,France,16,22,20,11,21,20,18,21,"
"
Israel,Estonia,6,8,24,15,15,13,10,8,3
Israel,United Kingdom,19,11,17,13,12,15,11,11,"
"
Israel,Armenia,20,23,23,19,19,24,3,14,"
"
Israel,Lithuania,18,9,10,12,4,8,19,15,"
"
Israel,Serbia,9,12,13,9,14,9,14,9,2
Israel,Norway,17,13,11,21,17,16,15,19,"
"
Israel,Sweden,1,3,3,2,1,2,4,2,10
Israel,Cyprus,15,4,12,5,6,6,20,12,"
"
Israel,Australia,5,5,5,3,2,3,6,4,7
Israel,Belgium,12,25,14,10,20,17,5,7,4
Israel,Austria,24,6,18,6,9,10,26,20,"
"
Israel,Greece,14,26,22,18,5,19,24,24,"
"
Israel,Montenegro,13,24,4,16,8,11,17,16,"
"
Israel,Germany,8,7,8,4,10,5,21,13,"
"
Israel,Poland,11,15,21,26,11,18,23,23,"
"
Israel,Latvia,25,16,15,17,25,22,9,18,"
"
Israel,Romania,10,10,19,8,22,14,7,6,5
Israel,Spain,4,21,7,23,13,12,13,10,1
Israel,Hungary,21,18,25,24,24,25,22,25,"
"
Israel,Georgia,22,17,9,20,23,21,8,17,"
"
Israel,Azerbaijan,26,14,16,25,18,23,16,22,"
"
Israel,Russia,3,19,6,14,7,7,1,3,8
Israel,Albania,23,20,26,22,26,26,25,26,"
"
Israel,Italy,2,1,2,1,3,1,2,1,12
Italy,Slovenia,16,16,19,14,7,14,18,18,"
"
Italy,France,25,14,18,22,26,24,20,26,"
"
Italy,Israel,13,2,5,3,4,6,6,3,8
Italy,Estonia,19,8,16,10,8,9,13,9,2
Italy,United Kingdom,10,9,23,6,15,10,26,21,"
"
Italy,Armenia,21,18,24,19,23,23,19,24,"
"
Italy,Lithuania,23,12,10,17,19,16,15,16,"
"
Italy,Serbia,18,13,6,25,21,17,5,8,3
Italy,Norway,3,1,3,4,1,1,16,6,5
Italy,Sweden,7,6,1,1,5,2,8,1,12
Italy,Cyprus,1,7,13,7,9,7,24,17,"
"
Italy,Australia,9,3,4,2,2,3,12,5,6
Italy,Belgium,4,5,7,5,3,4,10,4,7
Italy,Austria,20,10,15,12,16,15,22,22,"
"
Italy,Greece,17,23,14,23,22,22,11,19,"
"
Italy,Montenegro,12,24,9,16,10,13,17,15,"
"
Italy,Germany,24,15,22,13,20,21,21,25,"
"
Italy,Poland,22,22,21,11,17,20,4,10,1
Italy,Latvia,5,4,2,9,6,5,14,7,4
Italy,Romania,11,25,25,24,24,26,2,13,"
"
Italy,Spain,14,21,8,21,25,19,9,14,"
"
Italy,Hungary,6,17,26,8,11,11,23,20,"
"
Italy,Georgia,8,26,20,18,14,18,7,11,"
"
Italy,Azerbaijan,15,11,11,20,13,12,25,23,"
"
Italy,Russia,2,19,12,15,12,8,3,2,10
Italy,Albania,26,20,17,26,18,25,1,12,"
"
Latvia,Slovenia,4,11,12,22,7,10,7,8,3
Latvia,France,5,5,8,6,22,6,24,13,"
"
Latvia,Israel,11,12,18,16,24,15,9,10,1
Latvia,Estonia,15,23,2,10,5,9,2,5,6
Latvia,United Kingdom,23,19,15,21,6,18,16,19,"
"
Latvia,Armenia,25,25,23,26,17,26,23,25,"
"
Latvia,Lithuania,10,14,6,9,8,7,3,4,7
Latvia,Serbia,22,16,11,19,25,24,22,24,"
"
Latvia,Norway,24,4,9,15,9,11,8,9,2
Latvia,Sweden,2,3,1,3,2,1,4,1,12
Latvia,Cyprus,8,22,25,7,23,20,12,17,"
"
Latvia,Australia,1,1,3,1,10,2,10,6,5
Latvia,Belgium,16,7,4,18,3,8,6,7,4
Latvia,Austria,3,9,7,4,4,3,21,11,"
"
Latvia,Greece,7,15,24,20,16,16,25,23,"
"
Latvia,Montenegro,17,8,13,8,26,12,19,16,"
"
Latvia,Germany,9,10,14,25,15,14,17,14,"
"
Latvia,Poland,21,24,19,11,14,21,20,22,"
"
Latvia,Romania,20,21,17,12,21,23,14,20,"
"
Latvia,Spain,12,13,20,14,13,13,18,15,"
"
Latvia,Hungary,19,20,10,23,12,19,13,18,"
"
Latvia,Georgia,13,17,16,17,19,17,11,12,"
"
Latvia,Azerbaijan,18,18,21,13,20,22,15,21,"
"
Latvia,Russia,6,6,26,5,1,5,1,2,10
Latvia,Albania,26,26,22,24,18,25,26,26,"
"
Latvia,Italy,14,2,5,2,11,4,5,3,8
Lithuania,Slovenia,9,14,4,14,11,9,7,7,4
Lithuania,France,17,24,19,15,17,19,23,21,"
"
Lithuania,Israel,8,10,17,17,9,11,12,12,"
"
Lithuania,Estonia,3,8,5,5,12,7,2,3,8
Lithuania,United Kingdom,15,9,15,9,25,13,17,17,"
"
Lithuania,Armenia,24,12,22,24,20,22,22,24,"
"
Lithuania,Serbia,18,22,21,20,19,21,24,25,"
"
Lithuania,Norway,7,3,1,7,3,3,10,6,5
Lithuania,Sweden,5,1,2,1,2,2,4,2,10
Lithuania,Cyprus,13,17,12,13,21,14,14,14,"
"
Lithuania,Australia,14,6,13,2,4,8,9,8,3
Lithuania,Belgium,6,4,7,6,5,5,5,4,7
Lithuania,Austria,20,11,14,8,8,10,18,16,"
"
Lithuania,Greece,19,23,10,18,16,17,25,22,"
"
Lithuania,Montenegro,12,18,23,22,14,18,21,18,"
"
Lithuania,Germany,11,19,9,11,13,12,16,15,"
"
Lithuania,Poland,10,15,16,23,15,16,11,13,"
"
Lithuania,Latvia,2,2,3,3,1,1,1,1,12
Lithuania,Romania,23,16,24,21,26,25,15,19,"
"
Lithuania,Spain,22,25,20,16,22,23,19,20,"
"
Lithuania,Hungary,21,20,18,25,24,24,20,23,"
"
Lithuania,Georgia,1,7,8,4,6,4,8,5,6
Lithuania,Azerbaijan,4,5,6,10,7,6,13,9,2
Lithuania,Russia,26,13,26,19,10,20,3,11,"
"
Lithuania,Albania,25,26,25,26,23,26,26,26,"
"
Lithuania,Italy,16,21,11,12,18,15,6,10,1
Malta,Slovenia,20,9,10,16,5,11,20,15,"
"
Malta,France,13,8,23,19,13,15,26,21,"
"
Malta,Israel,9,10,12,5,9,7,6,6,5
Malta,Estonia,7,7,24,8,6,10,8,8,3
Malta,United Kingdom,11,14,27,10,14,14,9,10,1
Malta,Armenia,23,13,6,17,21,16,27,23,"
"
Malta,Lithuania,19,20,25,12,8,18,16,16,"
"
Malta,Serbia,17,23,16,9,10,13,11,12,"
"
Malta,Norway,10,4,4,7,23,8,13,9,2
Malta,Sweden,2,5,5,2,3,2,2,2,10
Malta,Cyprus,12,19,11,14,15,12,19,14,"
"
Malta,Australia,4,3,2,13,7,4,5,5,6
Malta,Belgium,15,15,20,15,20,19,7,13,"
"
Malta,Austria,22,22,14,23,24,22,23,26,"
"
Malta,Greece,27,25,15,18,18,21,21,22,"
"
Malta,Montenegro,14,12,8,27,19,17,24,20,"
"
Malta,Germany,21,18,17,24,27,23,22,25,"
"
Malta,Poland,26,24,22,20,16,24,15,19,"
"
Malta,Latvia,6,6,7,3,12,6,10,7,4
Malta,Romania,24,21,19,25,25,25,12,17,"
"
Malta,Spain,5,11,13,11,11,9,14,11,"
"
Malta,Hungary,25,27,21,21,26,27,25,27,"
"
Malta,Georgia,18,17,18,22,17,20,17,18,"
"
Malta,Azerbaijan,8,2,9,6,1,3,4,3,8
Malta,Russia,3,16,3,4,4,5,3,4,7
Malta,Albania,16,26,26,26,22,26,18,24,"
"
Malta,Italy,1,1,1,1,2,1,1,1,12
Moldova,Slovenia,20,19,16,13,20,19,14,18,"
"
Moldova,France,21,11,24,12,11,15,19,19,"
"
Moldova,Israel,10,15,25,17,12,16,12,13,"
"
Moldova,Estonia,19,25,27,23,24,26,7,17,"
"
Moldova,United Kingdom,27,24,22,20,27,27,26,27,"
"
Moldova,Armenia,18,16,26,16,16,21,9,15,"
"
Moldova,Lithuania,7,20,7,26,25,18,23,22,"
"
Moldova,Serbia,8,3,10,21,9,8,24,16,"
"
Moldova,Norway,14,21,8,9,7,11,16,12,"
"
Moldova,Sweden,4,2,4,3,2,2,5,3,8
Moldova,Cyprus,22,22,18,14,17,22,21,23,"
"
Moldova,Australia,11,9,2,2,5,3,13,7,4
Moldova,Belgium,3,18,5,4,6,5,6,5,6
Moldova,Austria,26,26,23,24,19,25,27,26,"
"
Moldova,Greece,17,8,21,6,10,12,17,14,"
"
Moldova,Montenegro,5,10,14,7,22,10,15,11,"
"
Moldova,Germany,25,13,12,11,21,17,18,20,"
"
Moldova,Poland,23,17,19,25,23,23,25,25,"
"
Moldova,Latvia,2,7,9,19,18,9,8,9,2
Moldova,Romania,1,1,1,1,1,1,1,1,12
Moldova,Spain,9,12,13,22,13,14,11,10,1
Moldova,Hungary,24,23,17,27,26,24,22,24,"
"
Moldova,Georgia,6,6,6,15,8,6,10,6,5
Moldova,Azerbaijan,13,14,15,10,15,13,4,8,3
Moldova,Russia,15,4,3,5,4,4,2,2,10
Moldova,Albania,12,27,20,18,14,20,20,21,"
"
Moldova,Italy,16,5,11,8,3,7,3,4,7
Montenegro,Slovenia,-,-,-,-,-,"
",7,7,4
Montenegro,France,-,-,-,-,-,"
",25,25,"
"
Montenegro,Israel,-,-,-,-,-,"
",8,8,3
Montenegro,Estonia,-,-,-,-,-,"
",10,10,1
Montenegro,United Kingdom,-,-,-,-,-,"
",22,22,"
"
Montenegro,Armenia,-,-,-,-,-,"
",15,15,"
"
Montenegro,Lithuania,-,-,-,-,-,"
",24,24,"
"
Montenegro,Serbia,-,-,-,-,-,"
",1,1,12
Montenegro,Norway,-,-,-,-,-,"
",17,17,"
"
Montenegro,Sweden,-,-,-,-,-,"
",6,6,5
Montenegro,Cyprus,-,-,-,-,-,"
",21,21,"
"
Montenegro,Australia,-,-,-,-,-,"
",13,13,"
"
Montenegro,Belgium,-,-,-,-,-,"
",12,12,"
"
Montenegro,Austria,-,-,-,-,-,"
",26,26,"
"
Montenegro,Greece,-,-,-,-,-,"
",16,16,"
"
Montenegro,Germany,-,-,-,-,-,"
",18,18,"
"
Montenegro,Poland,-,-,-,-,-,"
",23,23,"
"
Montenegro,Latvia,-,-,-,-,-,"
",11,11,"
"
Montenegro,Romania,-,-,-,-,-,"
",20,20,"
"
Montenegro,Spain,-,-,-,-,-,"
",9,9,2
Montenegro,Hungary,-,-,-,-,-,"
",19,19,"
"
Montenegro,Georgia,-,-,-,-,-,"
",14,14,"
"
Montenegro,Azerbaijan,-,-,-,-,-,"
",3,3,8
Montenegro,Russia,-,-,-,-,-,"
",4,4,7
Montenegro,Albania,-,-,-,-,-,"
",2,2,10
Montenegro,Italy,-,-,-,-,-,"
",5,5,6
Norway,Slovenia,2,8,7,16,8,7,13,10,1
Norway,France,26,11,12,13,21,16,24,20,"
"
Norway,Israel,10,5,4,5,3,4,10,7,4
Norway,Estonia,20,4,5,11,7,9,9,8,3
Norway,United Kingdom,25,25,23,25,22,25,19,24,"
"
Norway,Armenia,24,24,24,23,23,24,26,26,"
"
Norway,Lithuania,13,7,10,6,6,8,3,5,6
Norway,Serbia,14,13,14,21,17,15,12,12,"
"
Norway,Sweden,3,1,1,1,1,1,1,1,12
Norway,Cyprus,8,10,6,7,5,6,14,11,"
"
Norway,Australia,7,3,2,2,2,3,2,2,10
Norway,Belgium,4,6,11,4,9,5,5,4,7
Norway,Austria,5,15,9,15,12,12,21,16,"
"
Norway,Greece,16,22,21,20,16,20,25,25,"
"
Norway,Montenegro,22,16,20,12,18,17,17,17,"
"
Norway,Germany,12,14,18,14,13,14,22,18,"
"
Norway,Poland,21,23,17,22,19,22,7,13,"
"
Norway,Latvia,1,2,3,3,4,2,6,3,8
Norway,Romania,17,18,16,24,20,21,11,15,"
"
Norway,Spain,9,19,15,10,11,13,16,14,"
"
Norway,Hungary,23,21,26,18,26,23,18,22,"
"
Norway,Georgia,15,20,19,17,24,19,20,19,"
"
Norway,Azerbaijan,18,17,22,19,14,18,23,23,"
"
Norway,Russia,6,9,13,9,15,11,8,9,2
Norway,Albania,19,26,25,26,25,26,15,21,"
"
Norway,Italy,11,12,8,8,10,10,4,6,5
Poland,Slovenia,15,17,7,14,16,16,8,10,1
Poland,France,20,26,23,23,24,26,25,26,"
"
Poland,Israel,11,5,3,8,4,4,7,7,4
Poland,Estonia,13,12,17,13,19,17,2,9,2
Poland,United Kingdom,5,4,18,9,9,8,22,17,"
"
Poland,Armenia,21,24,22,24,22,24,20,24,"
"
Poland,Lithuania,22,21,24,25,20,23,19,21,"
"
Poland,Serbia,16,16,26,20,14,21,21,22,"
"
Poland,Norway,10,7,6,4,6,5,12,8,3
Poland,Sweden,1,2,19,3,1,2,3,1,12
Poland,Cyprus,9,6,20,1,18,9,16,13,"
"
Poland,Australia,2,3,8,2,3,1,9,3,8
Poland,Belgium,8,1,25,5,5,6,5,6,5
Poland,Austria,12,11,21,6,12,13,24,18,"
"
Poland,Greece,23,19,10,22,17,20,23,23,"
"
Poland,Montenegro,24,25,16,26,23,25,15,19,"
"
Poland,Germany,14,10,9,19,13,14,10,11,"
"
Poland,Latvia,7,9,2,7,2,3,6,2,10
Poland,Romania,25,23,13,18,25,22,18,20,"
"
Poland,Spain,17,22,15,21,15,19,11,16,"
"
Poland,Hungary,6,15,14,15,10,11,14,12,"
"
Poland,Georgia,18,14,5,16,7,12,17,15,"
"
Poland,Azerbaijan,19,13,4,12,21,15,13,14,"
"
Poland,Russia,4,20,1,11,8,7,4,5,6
Poland,Albania,26,18,12,17,11,18,26,25,"
"
Poland,Italy,3,8,11,10,26,10,1,4,7
Portugal,Slovenia,5,20,4,12,13,12,21,16,"
"
Portugal,France,20,19,23,19,16,19,13,15,"
"
Portugal,Israel,11,11,11,1,1,5,6,4,7
Portugal,Estonia,7,8,20,13,6,13,8,10,1
Portugal,United Kingdom,17,26,21,16,19,20,22,22,"
"
Portugal,Armenia,19,24,22,21,24,24,27,27,"
"
Portugal,Lithuania,26,27,24,25,25,26,16,21,"
"
Portugal,Serbia,23,21,27,24,18,25,15,18,"
"
Portugal,Norway,1,1,2,2,3,1,10,5,6
Portugal,Sweden,2,2,1,3,4,2,5,3,8
Portugal,Cyprus,10,7,6,15,8,8,14,12,"
"
Portugal,Australia,15,17,13,10,14,15,11,14,"
"
Portugal,Belgium,8,4,5,14,12,7,7,6,5
Portugal,Austria,18,16,18,18,21,18,24,23,"
"
Portugal,Greece,24,22,19,22,23,23,17,19,"
"
Portugal,Montenegro,13,9,7,6,7,6,19,13,"
"
Portugal,Germany,16,13,15,20,20,17,26,24,"
"
Portugal,Poland,22,14,17,26,27,21,18,17,"
"
Portugal,Latvia,3,18,12,7,11,10,9,9,2
Portugal,Romania,14,3,10,11,15,11,4,7,4
Portugal,Spain,12,23,8,8,10,14,2,8,3
Portugal,Hungary,27,25,25,27,26,27,20,26,"
"
Portugal,Georgia,9,6,16,9,9,9,12,11,"
"
Portugal,Azerbaijan,21,10,9,17,17,16,25,20,"
"
Portugal,Russia,4,15,3,4,5,3,3,2,10
Portugal,Albania,25,12,26,23,22,22,23,25,"
"
Portugal,Italy,6,5,14,5,2,4,1,1,12
Romania,Slovenia,20,15,20,24,20,20,20,21,"
"
Romania,France,4,8,9,12,4,7,24,17,"
"
Romania,Israel,16,13,16,25,18,17,8,10,1
Romania,Estonia,24,25,12,21,25,24,7,15,"
"
Romania,United Kingdom,19,19,18,22,15,18,22,22,"
"
Romania,Armenia,22,20,24,18,24,25,17,23,"
"
Romania,Lithuania,25,22,15,19,23,23,26,26,"
"
Romania,Serbia,15,23,25,20,19,22,16,20,"
"
Romania,Norway,2,2,1,10,1,2,13,5,6
Romania,Sweden,5,5,2,5,6,4,3,3,8
Romania,Cyprus,14,7,8,6,7,9,23,19,"
"
Romania,Australia,11,6,7,7,8,8,11,9,2
Romania,Belgium,3,3,3,3,21,5,6,4,7
Romania,Austria,12,9,11,8,16,11,21,18,"
"
Romania,Greece,10,18,17,13,10,13,12,11,"
"
Romania,Montenegro,8,10,13,11,9,10,18,14,"
"
Romania,Germany,21,14,19,17,14,16,15,16,"
"
Romania,Poland,17,21,23,16,22,21,25,25,"
"
Romania,Latvia,7,16,5,1,5,6,10,6,5
Romania,Spain,9,24,21,23,17,19,9,13,"
"
Romania,Hungary,23,11,22,9,12,15,2,7,4
Romania,Georgia,13,12,14,14,13,12,14,12,"
"
Romania,Azerbaijan,18,17,10,15,11,14,4,8,3
Romania,Russia,1,1,4,2,2,1,5,2,10
Romania,Albania,26,26,26,26,26,26,19,24,"
"
Romania,Italy,6,4,6,4,3,3,1,1,12
Russia,Slovenia,9,26,22,6,21,17,14,13,"
"
Russia,France,24,24,21,7,8,18,25,24,"
"
Russia,Israel,15,21,26,8,22,22,10,14,"
"
Russia,Estonia,3,5,15,9,6,5,4,4,7
Russia,United Kingdom,14,23,19,10,23,20,24,25,"
"
Russia,Armenia,13,14,10,4,19,9,2,5,6
Russia,Lithuania,12,12,20,14,24,16,22,22,"
"
Russia,Serbia,11,22,25,24,25,25,9,16,"
"
Russia,Norway,23,19,5,11,12,14,20,17,"
"
Russia,Sweden,1,1,1,2,4,1,5,3,8
Russia,Cyprus,26,11,13,25,18,23,19,23,"
"
Russia,Australia,4,2,4,15,2,3,12,7,4
Russia,Belgium,2,4,2,3,1,2,3,2,10
Russia,Austria,7,18,14,5,5,7,26,15,"
"
Russia,Greece,8,17,11,13,7,8,15,11,"
"
Russia,Montenegro,22,16,24,20,16,24,13,20,"
"
Russia,Germany,16,10,6,21,17,13,21,18,"
"
Russia,Poland,17,13,12,22,20,19,17,19,"
"
Russia,Latvia,10,8,17,12,26,15,6,9,2
Russia,Romania,25,15,16,23,11,21,16,21,"
"
Russia,Spain,18,7,18,16,10,12,11,10,1
Russia,Hungary,19,6,7,17,13,10,18,12,"
"
Russia,Georgia,5,9,8,18,9,6,7,6,5
Russia,Azerbaijan,6,20,9,19,14,11,8,8,3
Russia,Albania,21,25,23,26,15,26,23,26,"
"
Russia,Italy,20,3,3,1,3,4,1,1,12
San Marino,Slovenia,22,16,2,17,9,11,"
",11,"
"
San Marino,France,5,12,25,11,8,10,"
",10,1
San Marino,Israel,18,8,6,16,10,9,"
",9,2
San Marino,Estonia,26,27,27,15,21,26,"
",26,"
"
San Marino,United Kingdom,8,7,9,8,24,8,"
",8,3
San Marino,Armenia,11,24,19,19,23,20,"
",20,"
"
San Marino,Lithuania,21,15,12,9,11,12,"
",12,"
"
San Marino,Serbia,25,13,8,25,6,15,"
",15,"
"
San Marino,Norway,6,5,14,4,2,5,"
",5,6
San Marino,Sweden,7,4,1,3,5,4,"
",4,7
San Marino,Cyprus,24,17,26,13,20,23,"
",23,"
"
San Marino,Australia,3,1,7,1,4,3,"
",3,8
San Marino,Belgium,4,6,17,5,7,6,"
",6,5
San Marino,Austria,20,22,10,7,14,14,"
",14,"
"
San Marino,Greece,19,14,13,24,27,21,"
",21,"
"
San Marino,Montenegro,17,10,16,27,18,19,"
",19,"
"
San Marino,Germany,23,20,18,12,25,22,"
",22,"
"
San Marino,Poland,14,18,22,22,26,24,"
",24,"
"
San Marino,Latvia,2,3,4,2,1,1,"
",1,12
San Marino,Romania,16,23,23,23,22,25,"
",25,"
"
San Marino,Spain,12,11,21,14,13,13,"
",13,"
"
San Marino,Hungary,9,19,5,10,12,7,"
",7,4
San Marino,Georgia,10,9,20,21,19,16,"
",16,"
"
San Marino,Azerbaijan,13,21,15,18,15,17,"
",17,"
"
San Marino,Russia,15,25,11,20,16,18,"
",18,"
"
San Marino,Albania,27,26,24,26,17,27,"
",27,"
"
San Marino,Italy,1,2,3,6,3,2,"
",2,10
Serbia,Slovenia,2,8,6,2,12,6,7,6,5
Serbia,France,15,11,12,22,14,13,23,18,"
"
Serbia,Israel,12,1,7,3,8,7,5,5,6
Serbia,Estonia,9,17,16,26,5,12,9,9,2
Serbia,United Kingdom,16,19,25,23,22,24,20,24,"
"
Serbia,Armenia,26,24,26,24,25,26,26,26,"
"
Serbia,Lithuania,17,25,20,21,19,23,19,21,"
"
Serbia,Norway,20,23,14,25,16,21,21,22,"
"
Serbia,Sweden,6,4,4,5,3,3,4,3,8
Serbia,Cyprus,13,16,17,14,23,16,22,20,"
"
Serbia,Australia,4,3,3,9,7,4,11,8,3
Serbia,Belgium,3,7,8,7,2,5,8,7,4
Serbia,Austria,14,22,15,19,15,18,24,23,"
"
Serbia,Greece,23,20,21,16,17,20,15,17,"
"
Serbia,Montenegro,1,2,1,1,1,1,1,1,12
Serbia,Germany,7,10,9,11,10,9,16,12,"
"
Serbia,Poland,19,15,18,20,24,19,18,19,"
"
Serbia,Latvia,11,6,11,12,9,10,13,10,1
Serbia,Romania,18,9,10,13,13,11,17,14,"
"
Serbia,Spain,21,14,13,17,18,17,14,16,"
"
Serbia,Hungary,8,21,19,8,20,14,10,11,"
"
Serbia,Georgia,22,12,22,10,11,15,12,13,"
"
Serbia,Azerbaijan,24,18,24,15,21,22,25,25,"
"
Serbia,Russia,5,5,2,4,4,2,2,2,10
Serbia,Albania,25,26,23,18,26,25,6,15,"
"
Serbia,Italy,10,13,5,6,6,8,3,4,7
Slovenia,France,20,21,10,18,20,20,24,24,"
"
Slovenia,Israel,15,10,15,21,8,14,9,12,"
"
Slovenia,Estonia,11,18,22,12,10,15,8,11,"
"
Slovenia,United Kingdom,12,20,11,13,2,10,21,16,"
"
Slovenia,Armenia,18,26,24,24,24,25,26,26,"
"
Slovenia,Lithuania,19,17,21,15,11,18,19,19,"
"
Slovenia,Serbia,24,11,14,10,9,12,1,5,6
Slovenia,Norway,8,5,9,2,3,3,12,7,4
Slovenia,Sweden,3,2,2,6,6,2,5,1,12
Slovenia,Cyprus,13,4,3,1,7,4,15,10,1
Slovenia,Australia,7,13,6,5,4,6,11,9,2
Slovenia,Belgium,1,8,5,19,19,9,7,8,3
Slovenia,Austria,23,12,12,9,12,13,16,14,"
"
Slovenia,Greece,10,24,19,23,21,21,25,25,"
"
Slovenia,Montenegro,9,6,4,8,5,5,3,2,10
Slovenia,Germany,16,16,16,16,16,17,20,20,"
"
Slovenia,Poland,22,22,23,20,15,22,22,23,"
"
Slovenia,Latvia,2,1,1,3,1,1,10,4,7
Slovenia,Romania,14,15,20,14,23,19,18,18,"
"
Slovenia,Spain,25,14,18,22,25,23,17,22,"
"
Slovenia,Hungary,17,23,25,25,14,24,13,17,"
"
Slovenia,Georgia,6,19,13,17,22,16,23,21,"
"
Slovenia,Azerbaijan,21,9,8,11,17,11,14,13,"
"
Slovenia,Russia,4,3,17,4,18,8,6,6,5
Slovenia,Albania,26,25,26,26,26,26,4,15,"
"
Slovenia,Italy,5,7,7,7,13,7,2,3,8
Spain,Slovenia,10,12,15,16,17,13,21,17,"
"
Spain,France,9,11,16,11,11,10,19,13,"
"
Spain,Israel,18,9,14,18,13,15,7,10,1
Spain,Estonia,16,14,9,8,4,8,10,8,3
Spain,United Kingdom,24,24,25,22,23,25,11,19,"
"
Spain,Armenia,23,23,17,26,24,23,12,18,"
"
Spain,Lithuania,17,8,18,23,22,20,14,16,"
"
Spain,Serbia,25,22,24,25,19,24,16,23,"
"
Spain,Norway,13,10,6,7,9,7,13,9,2
Spain,Sweden,11,6,3,4,3,5,3,3,8
Spain,Cyprus,7,19,7,15,18,11,18,12,"
"
Spain,Australia,6,4,4,3,7,4,4,4,7
Spain,Belgium,2,7,1,1,5,2,6,5,6
Spain,Austria,12,3,12,9,16,9,23,14,"
"
Spain,Greece,14,5,23,20,10,14,25,22,"
"
Spain,Montenegro,21,18,21,21,25,22,24,25,"
"
Spain,Germany,15,16,19,19,20,21,17,21,"
"
Spain,Poland,20,17,8,12,21,18,15,15,"
"
Spain,Latvia,3,13,5,6,8,6,9,7,4
Spain,Romania,5,21,13,14,15,12,2,6,5
Spain,Hungary,26,25,26,24,26,26,22,26,"
"
Spain,Georgia,19,15,20,17,14,19,8,11,"
"
Spain,Azerbaijan,22,26,11,10,6,16,26,24,"
"
Spain,Russia,1,2,2,2,1,1,5,2,10
Spain,Albania,8,20,22,13,12,17,20,20,"
"
Spain,Italy,4,1,10,5,2,3,1,1,12
Sweden,Slovenia,13,8,9,14,22,11,13,10,1
Sweden,France,18,19,12,13,10,15,26,22,"
"
Sweden,Israel,6,5,4,8,11,7,8,7,4
